0	567	884	860	604	322	455	603	940	326	689	483	698	746	1018	466	618	424	322	515	482	750	672	697	725	632	1062	799	465	544	584	776	786	814	804	345	796	597	549	721	750	844	661	203	788	551	170	729	1066	623	411	529	593	449	677	449	626	748	599	728	
567	0	713	894	817	421	685	456	1008	609	724	360	728	277	846	343	581	397	462	529	724	956	254	450	633	389	893	979	795	637	690	826	732	907	512	222	755	606	866	751	286	1051	192	417	990	353	453	259	928	398	320	679	719	732	446	326	548	856	301	290	
884	713	0	372	662	576	1004	412	504	879	343	512	332	653	232	692	283	495	584	385	687	687	708	422	173	324	185	623	775	438	446	369	198	460	257	602	217	335	781	327	639	704	660	681	663	376	723	667	257	477	700	516	482	955	381	598	276	460	596	588	
860	894	372	0	423	560	966	633	247	806	175	681	168	920	442	819	330	526	547	394	505	381	919	670	281	545	397	291	568	316	278	85	181	121	573	701	155	289	539	143	910	364	902	667	335	543	691	930	448	698	784	349	283	832	503	752	367	180	807	847	
604	817	662	423	0	496	680	687	440	523	341	689	353	983	745	716	419	499	475	394	251	289	922	777	495	640	775	233	159	243	216	338	468	314	763	595	458	345	126	341	969	271	920	440	215	584	434	972	744	756	650	291	252	467	635	699	461	384	842	913	
322	421	576	560	496	0	442	375	658	316	397	337	401	616	698	320	353	340	240	384	443	591	526	466	403	353	740	574	386	253	303	481	465	539	521	199	477	279	449	417	602	640	539	119	579	272	160	598	744	444	297	331	335	439	398	303	396	471	453	582	
455	685	1004	966	680	442	0	721	1038	441	800	601	810	845	1138	584	737	544	437	635	597	806	790	815	845	754	1182	880	521	652	688	881	901	912	926	463	911	712	604	832	851	917	760	323	864	673	285	828	1186	741	526	644	708	564	799	567	746	856	717	846	
603	456	412	633	687	375	721	0	763	641	497	241	497	306	545	379	331	262	411	303	639	792	336	225	352	88	587	786	725	454	502	584	456	676	219	258	481	383	774	508	292	868	274	438	809	103	486	305	627	241	356	519	536	765	145	325	295	633	360	357	
940	1008	504	247	440	658	1038	763	0	874	284	798	281	1051	534	932	444	638	637	507	546	353	1046	802	413	675	487	242	592	405	358	182	313	126	704	813	287	402	545	257	1042	294	1032	756	286	670	774	1060	559	828	894	417	352	882	635	866	481	197	934	978	
326	609	879	806	523	316	441	641	874	0	643	534	653	820	1003	489	608	423	308	506	456	649	723	741	708	653	1046	715	364	495	528	721	754	748	825	396	761	564	448	675	819	754	735	203	700	571	156	802	1044	674	397	515	564	435	690	500	619	696	650	779	
689	724	343	175	341	397	800	497	284	643	0	517	57	790	424	648	192	355	380	223	374	393	770	551	189	414	455	312	453	148	125	102	145	187	488	530	138	118	448	32	781	395	759	494	344	394	519	795	431	566	613	200	161	685	411	582	235	172	658	717	
483	360	512	681	689	337	601	241	798	534	517	0	521	334	645	259	366	297	378	338	640	784	326	325	418	188	692	789	667	446	498	617	517	700	343	138	540	399	725	541	320	865	264	337	804	138	385	318	726	310	236	524	528	664	245	242	333	649	373	362	
698	728	332	168	353	401	810	497	281	653	57	521	0	788	413	652	196	359	390	227	386	386	770	549	182	412	444	317	465	158	137	99	134	187	482	534	127	122	458	25	779	400	759	502	351	394	528	794	420	565	617	212	173	697	404	586	239	165	658	715	
746	277	653	920	983	616	845	306	1051	820	790	334	788	0	759	380	624	528	659	599	917	1088	147	256	639	376	803	1084	988	750	798	881	743	974	397	428	768	682	1046	806	14	1165	85	642	1106	399	686	24	855	235	470	815	832	962	421	336	583	932	190	79	
1018	846	232	442	745	698	1138	545	534	1003	424	645	413	759	0	829	405	617	706	507	793	752	825	527	295	457	47	672	876	547	545	426	279	502	362	740	287	451	871	404	747	747	778	815	715	513	855	778	119	604	838	618	571	1077	494	732	398	521	729	693	
466	343	692	819	716	320	584	379	932	489	648	259	652	380	829	0	513	296	361	428	622	855	357	473	585	375	876	883	678	546	599	750	678	825	526	121	698	530	751	677	385	952	295	298	891	316	333	363	904	399	219	578	623	612	432	225	498	763	375	393	
618	581	283	330	419	353	737	331	444	608	192	366	196	624	405	513	0	311	349	179	427	496	604	385	110	248	448	471	511	178	206	263	176	354	345	392	194	74	532	187	613	554	593	415	498	228	452	627	451	400	490	256	242	700	305	450	191	324	492	551	
424	397	495	526	499	340	544	262	638	423	355	297	359	528	617	296	311	0	342	342	505	594	502	353	322	238	650	599	478	256	309	456	400	530	407	175	417	237	531	384	514	673	462	221	612	159	267	515	663	331	273	334	338	546	285	279	354	475	423	488	
322	462	584	547	475	240	437	411	637	308	380	378	390	659	706	361	349	342	0	380	434	570	567	502	411	386	749	542	342	232	279	464	464	515	552	240	474	275	406	404	645	605	583	121	544	308	152	641	752	480	331	310	314	431	434	344	392	447	494	623	
515	529	385	394	394	384	635	303	507	506	223	338	227	599	507	428	179	342	380	0	400	489	576	390	212	253	549	489	449	151	199	325	275	403	391	307	290	105	484	252	593	567	558	312	507	200	350	601	553	372	405	229	233	629	310	411	222	355	464	529	
482	724	687	505	251	443	597	639	546	456	374	640	386	917	793	622	427	505	434	400	0	357	829	730	515	604	826	362	92	249	249	420	514	420	748	502	511	353	142	400	903	402	844	324	346	536	312	901	804	708	534	324	285	400	641	606	467	417	756	865	
