0	1033	826	940	402	619	928	565	745	576	540	491	323	767	824	504	653	749	662	583	
1033	0	839	672	659	931	823	952	552	471	697	587	710	628	550	884	792	681	938	964	
826	839	0	783	556	799	720	745	621	368	659	485	503	704	661	831	773	578	836	763	
940	672	783	0	598	909	471	917	195	449	414	466	675	207	122	558	409	586	700	832	
402	659	556	598	0	375	540	321	420	188	289	132	79	472	498	402	410	398	418	339	
619	931	799	909	375	0	812	538	755	460	642	475	296	817	828	730	760	670	635	556	
928	823	720	471	540	812	0	844	355	352	522	447	612	428	349	707	595	562	798	843	
565	952	745	917	321	538	844	0	739	492	574	452	242	783	818	609	695	668	581	502	
745	552	621	195	420	755	355	739	0	307	220	288	497	83	79	380	240	425	506	637	
576	471	368	449	188	460	352	492	307	0	291	124	260	381	374	464	405	210	474	493	
540	697	659	414	289	642	522	574	220	291	0	188	351	227	293	187	121	487	286	429	
491	587	485	466	132	475	447	452	288	124	188	0	210	342	366	346	309	334	351	396	
323	710	503	675	79	296	612	242	497	260	351	210	0	546	576	436	464	426	339	260	
767	628	704	207	472	817	428	783	83	381	227	342	546	0	92	351	202	508	503	656	
824	550	661	122	498	828	349	818	79	374	293	366	576	92	0	438	291	464	578	715	
504	884	831	558	402	730	707	609	380	464	187	346	436	351	438	0	149	669	189	394	
653	792	773	409	410	760	595	695	240	405	121	309	464	202	291	149	0	590	317	500	
749	681	578	586	398	670	562	668	425	210	487	334	426	508	464	669	590	0	683	681	
662	938	836	700	418	635	798	581	506	474	286	351	339	503	578	189	317	683	0	213	
583	964	763	832	339	556	843	502	637	493	429	396	260	656	715	394	500	681	213	0	
