0	716	430	712	561	873	712	416	678	339	608	452	130	131	230	406	738	489	505	398	606	578	438	449	518	842	913	310	569	424	
716	0	600	315	333	433	289	705	238	586	408	908	714	789	916	944	213	261	473	669	426	138	680	464	248	402	473	645	293	453	
430	600	0	618	401	760	487	683	558	413	671	384	441	299	409	347	533	339	208	647	320	466	129	589	368	730	801	621	457	628	
712	315	618	0	351	472	409	531	277	618	445	926	582	707	829	906	370	279	520	496	512	177	691	286	287	441	512	485	332	463	
561	333	401	351	0	493	295	611	291	411	404	613	487	482	609	611	304	72	193	575	230	198	358	437	101	462	533	552	190	361	
873	433	760	472	493	0	407	781	395	743	565	1068	836	937	1062	1102	331	421	631	746	576	295	840	536	405	559	630	735	450	610	
712	289	487	409	295	407	0	836	332	562	502	755	748	733	857	810	76	223	279	800	190	232	502	624	252	444	478	703	341	512	
416	705	683	531	611	781	836	0	595	528	404	856	286	539	601	817	840	618	770	36	837	625	799	245	639	682	758	165	502	331	
678	238	558	277	291	395	332	595	0	548	370	866	610	705	830	882	283	219	456	559	437	100	643	355	210	364	435	554	255	415	
339	586	413	618	411	743	562	528	548	0	619	473	284	208	335	386	577	339	320	492	423	448	284	460	368	712	783	464	457	578	
608	408	671	445	404	565	502	404	370	619	0	957	487	648	763	875	482	332	563	369	579	270	702	159	361	534	605	358	425	336	
452	908	384	926	613	1068	755	856	866	473	957	0	570	321	334	87	825	647	476	836	578	774	255	840	676	1038	1109	735	728	757	
130	714	441	582	487	836	748	286	610	284	487	570	0	254	322	532	778	528	594	278	686	593	559	372	556	753	836	180	439	294	
131	789	299	707	482	937	733	539	705	208	648	321	254	0	127	278	785	547	501	529	611	652	378	576	576	872	956	414	505	436	
230	916	409	829	609	1062	857	601	830	335	763	334	322	127	0	263	911	674	616	598	728	779	465	677	703	996	1080	499	632	551	
406	944	347	906	611	1102	810	817	882	386	875	87	532	278	263	0	878	683	534	804	642	807	322	831	707	1057	1137	687	686	671	
738	213	533	370	304	331	76	840	283	577	482	825	778	785	911	878	0	250	351	804	266	217	574	616	222	368	402	715	348	521	
489	261	339	279	72	421	223	618	219	339	332	647	528	547	674	683	250	0	241	583	247	127	425	423	29	391	462	480	118	289	
505	473	208	520	193	631	279	770	456	320	563	476	594	501	616	534	351	241	0	740	112	358	223	623	249	620	684	617	329	457	
398	669	647	496	575	746	800	36	559	492	369	836	278	529	598	804	804	583	740	0	805	589	774	210	603	647	722	129	466	295	
606	426	320	512	230	576	190	837	437	423	579	578	686	611	728	642	266	247	112	805	0	337	323	665	242	583	638	688	358	512	
578	138	466	177	198	295	232	625	100	448	270	774	593	652	779	807	217	127	358	589	337	0	552	399	110	264	335	507	155	315	
438	680	129	691	358	840	502	799	643	284	702	255	559	378	465	322	574	425	223	774	323	552	0	716	443	816	887	645	473	539	
449	464	589	286	437	536	624	245	355	460	159	840	372	576	677	831	616	423	623	210	665	399	716	0	438	437	513	199	307	177	
518	248	368	287	101	405	252	639	210	368	361	676	556	576	703	707	222	29	249	603	242	110	443	438	0	374	444	504	137	311	
842	402	730	441	462	559	444	682	364	712	534	1038	753	872	996	1057	368	391	620	647	583	264	816	437	374	0	84	615	373	460	
913	473	801	512	533	630	478	758	435	783	605	1109	836	956	1080	1137	402	462	684	722	638	335	887	513	444	84	0	696	454	544	
310	645	621	485	552	735	703	165	554	464	358	735	180	414	499	687	715	480	617	129	688	507	645	199	504	615	696	0	368	194	
569	293	457	332	190	450	341	502	255	457	425	728	439	505	632	686	348	118	329	466	358	155	473	307	137	373	454	368	0	174	
424	453	628	463	361	610	512	331	415	578	336	757	294	436	551	671	521	289	457	295	512	315	539	177	311	460	544	194	174	0	
