0	603	220	271	273	1022	889	662	603	685	657	275	553	845	448	252	463	807	280	865	248	442	218	713	344	724	753	830	89	149	1083	936	345	493	791	874	267	252	585	421	973	543	607	752	605	
603	0	575	678	418	739	317	246	426	164	691	490	608	621	579	598	830	261	616	328	662	812	627	137	259	125	201	234	585	507	687	341	272	527	577	322	681	603	305	572	489	334	410	176	748	
220	575	0	142	322	1098	793	642	527	657	806	239	713	910	608	130	676	785	80	750	461	659	426	634	316	663	657	789	131	309	1151	895	373	642	903	868	478	403	557	581	988	515	631	673	789	
271	678	142	0	373	1211	896	757	509	744	898	221	791	1023	688	112	728	895	62	846	513	704	484	741	431	773	760	901	182	389	1264	1007	486	734	1007	982	529	454	578	661	1103	550	746	780	863	
273	418	322	373	0	886	707	478	464	500	572	377	489	698	423	354	514	623	319	691	309	502	269	529	159	538	574	642	191	124	928	748	161	408	666	690	327	236	400	396	789	358	423	568	604	
1022	739	1098	1211	886	0	777	652	997	693	471	1025	512	313	630	1125	890	547	1175	853	904	915	893	715	794	654	772	557	1059	873	72	547	725	578	270	417	916	911	864	655	331	884	600	726	680	
889	317	793	896	707	777	0	317	414	235	895	695	782	645	831	798	1122	256	834	89	974	1126	938	180	548	196	136	222	853	812	780	246	582	826	798	360	993	913	324	821	527	361	481	188	1046	
662	246	642	757	478	652	317	0	457	160	676	557	593	536	564	665	851	205	699	353	691	824	658	168	326	121	236	171	653	551	598	276	317	512	512	235	710	648	331	589	402	351	406	193	733	
603	426	527	509	464	997	414	457	0	353	879	536	745	839	713	497	933	479	447	340	737	925	697	289	305	343	278	480	514	553	990	572	390	732	860	605	755	665	457	690	772	486	617	328	942	
685	164	657	744	500	693	235	160	353	0	738	572	625	535	654	680	918	175	682	253	750	897	714	64	341	39	132	168	665	594	683	271	360	602	616	285	769	691	232	660	452	261	324	103	823	
657	691	806	898	572	471	895	676	879	738	0	767	245	389	216	840	477	726	886	931	474	447	476	742	580	699	810	692	721	512	542	754	489	164	201	617	493	497	788	241	604	751	519	771	385	
275	490	239	221	377	1025	695	557	536	572	767	0	655	836	599	209	688	700	159	654	474	674	436	535	231	565	559	692	186	300	1073	798	300	603	841	775	493	412	472	572	903	430	546	574	780	
553	608	713	791	489	512	782	593	745	625	245	655	0	430	133	748	420	631	764	816	406	437	397	624	447	586	692	597	609	404	567	671	355	81	242	544	419	414	658	158	645	617	436	658	302	
845	621	910	1023	698	313	645	536	839	535	389	836	430	0	484	937	771	431	987	713	747	786	731	555	605	496	617	423	876	696	241	445	537	432	188	301	766	765	706	509	468	726	555	568	598	
448	579	608	688	423	630	831	564	713	654	216	599	133	484	0	643	353	673	678	855	278	323	271	663	412	635	728	671	508	299	695	755	323	52	368	639	297	305	626	129	673	585	407	702	273	
252	598	130	112	354	1125	798	665	497	680	840	209	748	937	643	0	710	808	50	750	495	693	461	642	339	674	662	803	163	344	1178	909	400	676	934	886	510	435	566	616	1011	538	654	681	824	
463	830	676	728	514	890	1122	851	933	918	477	688	420	771	353	710	0	960	741	1132	215	30	252	945	628	926	1005	974	550	390	961	1063	558	339	620	948	215	286	861	352	960	820	694	984	296	
807	261	785	895	623	547	256	205	479	175	726	700	631	431	673	808	960	0	833	320	829	951	797	196	469	136	241	34	796	695	547	131	462	621	551	130	848	793	346	698	297	366	335	208	842	
280	616	80	62	319	1175	834	699	447	682	886	159	764	987	678	50	741	833	0	785	527	722	495	684	389	718	700	848	191	385	1228	953	450	722	983	934	538	462	516	650	1060	488	704	719	865	
865	328	750	846	691	853	89	353	340	253	931	654	816	713	855	750	1132	320	785	0	973	1135	935	192	534	232	127	296	824	802	860	334	581	854	856	438	992	908	296	841	603	337	516	161	1075	
248	662	461	513	309	904	974	691	737	750	474	474	406	747	278	495	215	829	527	973	0	200	40	794	446	786	849	860	336	185	972	958	393	328	645	864	19	73	686	259	913	644	576	833	368	
442	812	659	704	502	915	1126	824	925	897	447	674	437	786	323	693	30	951	722	1135	200	0	238	949	625	931	1008	984	531	380	986	1073	557	357	645	962	185	272	860	322	978	818	685	986	266	
218	627	426	484	269	893	938	658	697	714	476	436	397	731	271	461	252	797	495	935	40	238	0	758	407	751	812	828	304	145	960	927	356	323	639	836	58	34	647	250	891	605	548	797	387	
713	137	634	741	529	715	180	168	289	64	742	535	624	555	663	642	945	196	684	192	794	949	758	0	370	61	68	192	685	632	734	283	402	662	680	325	813	733	168	650	490	197	328	39	883	
344	259	316	431	159	794	548	326	305	341	580	231	447	605	412	339	628	469	389	534	446	625	407	370	0	380	415	491	327	269	842	598	92	438	628	555	465	377	241	389	672	199	315	409	641	
724	125	663	773	538	654	196	121	343	39	699	565	586	496	635	674	926	136	718	232	786	931	751	61	380	0	121	137	704	632	673	237	397	630	627	265	805	728	210	625	429	230	285	72	850	
753	201	657	760	574	772	136	236	278	132	810	559	692	617	728	662	1005	241	700	127	849	1008	812	68	415	121	0	229	717	682	787	304	456	728	747	371	868	786	188	714	538	225	396	52	949	
830	234	789	901	642	557	222	171	480	168	692	692	597	423	671	803	974	34	848	296	860	984	828	192	491	137	229	0	818	722	565	107	488	655	583	144	878	809	347	666	311	364	301	179	867	
89	585	131	182	191	1059	853	653	514	665	721	186	609	876	508	163	550	796	191	824	336	531	304	685	327	704	717	818	0	209	1117	925	352	557	842	877	347	272	530	481	980	492	614	724	681	
149	507	309	389	124	873	812	551	553	594	512	300	404	696	299	344	390	695	385	802	185	380	145	632	269	632	682	722	209	0	935	826	235	348	642	751	203	112	510	272	829	468	467	671	480	
1083	687	1151	1264	928	72	780	598	990	683	542	1073	567	241	695	1178	961	547	1228	860	972	986	960	734	842	673	787	565	1117	935	0	542	778	647	341	422	984	962	842	713	259	836	528	735	749	
936	341	895	1007	748	547	246	276	572	271	754	798	671	445	755	909	1063	131	953	334	958	1073	927	283	598	237	304	107	925	826	542	0	593	735	621	144	976	910	447	753	283	467	388	260	940	
345	272	373	486	161	725	582	317	390	360	489	300	355	537	323	400	558	462	450	581	393	557	356	402	92	397	456	488	352	235	778	593	0	347	543	529	412	331	303	300	628	262	262	441	552	
493	527	642	734	408	578	826	512	732	602	164	603	81	432	52	676	339	621	722	854	328	357	323	662	438	630	728	655	557	348	647	735	347	0	317	613	338	333	624	77	621	587	355	695	221	
791	577	903	1007	666	270	798	512	860	616	201	841	242	188	368	934	620	551	983	856	645	645	639	680	628	627	747	583	842	642	341	621	543	317	0	478	655	647	720	390	403	698	367	699	410	
874	322	868	982	690	417	360	235	605	285	617	775	544	301	639	886	948	130	934	438	864	962	836	325	555	265	371	144	877	751	422	144	529	613	478	0	881	823	463	640	167	470	288	319	809	
267	681	478	529	327	916	993	710	755	769	493	493	419	766	297	510	215	848	538	992	19	185	58	813	465	805	868	878	347	203	984	976	412	338	655	881	0	91	705	271	928	663	593	852	367	
252	603	403	454	236	911	913	648	665	691	497	412	414	765	305	435	286	793	462	908	73	272	34	733	377	728	786	809	272	112	962	910	331	333	647	823	91	0	618	257	884	576	535	772	414	
585	305	557	578	400	864	324	331	457	232	788	472	658	706	626	566	861	346	516	296	686	860	647	168	241	210	188	347	530	510	842	447	303	624	720	463	705	618	0	593	618	42	354	203	841	
421	572	581	661	396	655	821	589	690	660	241	572	158	509	129	616	352	698	650	841	259	322	250	650	389	625	714	666	481	272	713	753	300	77	390	640	271	257	593	0	666	554	365	685	252	
973	489	988	1103	789	331	527	402	772	452	604	903	645	468	673	1011	960	297	1060	603	913	978	891	490	672	429	538	311	980	829	259	283	628	621	403	167	928	884	618	666	0	620	367	486	788	
543	334	515	550	358	884	361	351	486	261	751	430	617	726	585	538	820	366	488	337	644	818	605	197	199	230	225	364	492	468	836	467	262	587	698	470	663	576	42	554	620	0	334	234	804	
607	410	631	746	423	600	481	406	617	324	519	546	436	555	407	654	694	335	704	516	576	685	548	328	315	285	396	301	614	467	528	388	262	355	367	288	593	535	354	365	367	334	0	355	570	
752	176	673	780	568	726	188	193	328	103	771	574	658	568	702	681	984	208	719	161	833	986	797	39	409	72	52	179	724	671	735	260	441	695	699	319	852	772	203	685	486	234	355	0	916	
605	748	789	863	604	680	1046	733	942	823	385	780	302	598	273	824	296	842	865	1075	368	266	387	883	641	850	949	867	681	480	749	940	552	221	410	809	367	414	841	252	788	804	570	916	0	
